size,world_size,mode,trial,total_ms,staging_ms,transfer_ms,compute_ms
1024,4,gpu,0,29.5427,2.34042,7.80547,19.3874
1024,4,gpu,1,34.5336,2.55109,10.9777,17.1799
1024,4,gpu,2,32.5655,3.39041,9.93779,20.654
1024,4,gpu,3,29.5372,2.27061,7.38824,17.4115
1024,4,gpu,4,36.089,2.23368,29.7011,22.3287
2048,4,gpu,0,26.9759,1.55285,7.66728,18.0427
2048,4,gpu,1,27.0072,2.09386,11.0628,19.2776
2048,4,gpu,2,33.7597,2.59807,11.9552,18.5603
2048,4,gpu,3,29.2369,1.85183,7.01368,16.8384
2048,4,gpu,4,39.0271,1.73937,13.6631,23.0319
4096,4,gpu,0,31.7736,1.72787,11.665,21.4635
4096,4,gpu,1,35.1844,1.7652,11.8948,19.6283
4096,4,gpu,2,34.625,2.19324,10.5613,18.8395
4096,4,gpu,3,30.5129,1.52687,12.0494,17.2011
4096,4,gpu,4,29.5189,1.62711,8.0186,18.2897
8192,4,gpu,0,33.6319,2.72181,8.77867,17.087
8192,4,gpu,1,29.1385,1.5136,6.46043,15.7718
8192,4,gpu,2,35.1133,1.83947,13.15,18.414
8192,4,gpu,3,31.6242,2.45913,8.8616,16.9735
8192,4,gpu,4,29.0053,1.35487,10.9059,16.1967
16384,4,gpu,0,28.9168,1.99695,9.07829,19.3575
16384,4,gpu,1,28.7763,1.85756,5.92774,17.064
16384,4,gpu,2,33.0129,1.47578,9.84816,17.5795
16384,4,gpu,3,31.8647,1.44642,7.64737,16.8874
16384,4,gpu,4,31.3388,1.71257,11.9388,21.1978
32768,4,gpu,0,28.3181,1.87718,7.58353,16.4349
32768,4,gpu,1,29.86,2.74018,8.75105,17.4657
32768,4,gpu,2,26.9725,2.23155,10.151,16.9142
32768,4,gpu,3,28.7689,1.39534,9.78662,18.2556
32768,4,gpu,4,48.2558,1.98423,8.7792,16.8091
65536,4,gpu,0,32.0297,1.6768,9.95971,16.2419
65536,4,gpu,1,27.8735,2.08792,6.46629,17.5804
65536,4,gpu,2,29.9054,2.1443,8.48559,18.7164
65536,4,gpu,3,29.2785,1.52037,10.8253,19.9823
65536,4,gpu,4,27.3115,2.07527,10.9154,19.4117
131072,4,gpu,0,32.4621,1.7989,9.07519,16.362
131072,4,gpu,1,33.2847,2.78161,11.5953,19.8349
131072,4,gpu,2,33.4984,2.53589,13.1715,20.9738
131072,4,gpu,3,26.6868,1.63603,8.5496,18.7888
131072,4,gpu,4,26.1973,1.82371,7.91988,17.3491
262144,4,gpu,0,35.3867,2.87549,15.6345,19.2556
262144,4,gpu,1,30.7343,1.85819,11.2378,18.4078
262144,4,gpu,2,27.4178,1.66818,6.08405,16.3534
262144,4,gpu,3,32.3437,2.3318,9.01661,17.8553
262144,4,gpu,4,29.7914,1.91477,9.85631,18.7856
524288,4,gpu,0,57.5928,4.44794,29.8439,17.1802
524288,4,gpu,1,39.8847,2.41751,15.2611,18.9981
524288,4,gpu,2,40.8595,2.44593,9.63697,19.6491
524288,4,gpu,3,34.4349,2.22832,15.166,15.41
524288,4,gpu,4,31.3551,3.02409,7.93653,16.2084
1048576,4,gpu,0,38.4209,4.73588,12.4395,17.5626
1048576,4,gpu,1,39.2634,4.67313,12.6627,16.3395
1048576,4,gpu,2,47.8789,4.92246,14.3126,16.5612
1048576,4,gpu,3,38.7517,3.29346,14.7868,19.2245
1048576,4,gpu,4,39.2237,3.21486,12.3085,19.2706
2097152,4,gpu,0,49.9785,5.52078,19.7542,18.668
2097152,4,gpu,1,47.1027,6.85748,14.6865,18.1307
2097152,4,gpu,2,50.9261,5.53466,16.3922,20.2317
2097152,4,gpu,3,50.9565,5.96174,18.3431,16.3974
2097152,4,gpu,4,53.7858,6.63969,19.6849,20.5855
4194304,4,gpu,0,75.5521,14.748,25.8999,17.3915
4194304,4,gpu,1,77.5614,13.074,22.6301,16.5166
4194304,4,gpu,2,61.339,11.3871,24.6387,15.4519
4194304,4,gpu,3,80.9057,16.6678,29.7196,20.3954
4194304,4,gpu,4,67.7417,11.6458,23.8121,16.4451
8388608,4,gpu,0,131.696,33.4887,43.007,18.7669
8388608,4,gpu,1,128.216,34.7044,43.8031,18.3735
8388608,4,gpu,2,122.094,31.9553,44.9928,16.3693
8388608,4,gpu,3,115.994,30.7502,37.7257,17.0944
8388608,4,gpu,4,121.605,31.3207,37.7799,15.2795
16777216,4,gpu,0,233.151,73.4851,73.9948,20.6927
16777216,4,gpu,1,239.081,77.9409,83.1975,19.5836
16777216,4,gpu,2,231.532,72.1446,81.7774,15.367
16777216,4,gpu,3,243.683,75.1137,66.92,19.0636
16777216,4,gpu,4,250.096,77.5316,66.2103,21.377
